Sentence,Party,Sentiment,Overall Sentiment
"Given the obvious imbalance in the Skilled Craft category, and given the Agency commitment to eliminating such imbalances, it was plainly not unreasonable for the Agency to determine that it was appropriate to consider as one factor the sex of Ms. Joyce in making its decision.","[[],[agency]]","[[],[1]]",1
the Agency to determine that it was appropriate to consider as one factor the sex of Ms. Joyce in making its decision.,"[[],[agency]]","[[],[1]]",1
"In addition, petitioner had no absolute entitlement to the road dispatcher position.","[[petitioner],[]]","[[-1],[]]",-1
"Seven of the applicants were classified as qualified and eligible, and the Agency Director was authorized to promote any of the seven.","[[],[agency]]","[[],[1]]",1
the Agency Director was authorized to promote any of the seven.,"[[],[agency]]","[[],[1]]",1
"Furthermore, while petitioner in this case was denied a promotion, he retained his employment with the Agency, at the same salary and with the same seniority, and remained eligible for other promotions.","[[petitioner,he,his],[agency]]","[[1,1,1],[1]]",1
petitioner in this case was denied a promotion,"[[petitioner],[]]","[[-1],[]]",-1
he retained his employment with the Agency,"[[he,his],[agency]]","[[1,1],[1]]",1
"Finally, the Agency Plan was intended to attain a balanced work force, not to maintain one.","[[],[agency]]","[[],[1]]",1
"In order to make out a prima facie case on such a claim, a plaintiff would be required to compare the percentage of black skilled workers in the Kaiser work force with the percentage of black skilled craft workers in the area labor market.","[[plaintiff],[]]","[[-1],[]]",-1
"In addition, the Agency was mindful of the importance of finally hiring a woman in job category that had formerly been all male.","[[],[agency]]","[[],[1]]",1
"In addition, the Agency was mindful of the importance of finally hiring a woman in job category","[[],[agency]]","[[],[1]]",1
"The Agency personnel figures indicate that the [480 U.S. 616, 639] Agency fully expected most of these positions to be filled by men.","[[],[agency]]","[[],[-1]]",-1
Respondent voluntary decision is surely not prohibited by Title VII as construed in Weber.,"[[],[respondent]]","[[],[1]]",1
Whether a voluntary decision of the kind made by respondent would ever be prohibited by Title VII is a question we need not answer until it is squarely presented.,"[[],[respondent]]","[[],[0]]",0
a voluntary decision of the kind made by respondent would ever be prohibited by Title VII,"[[],[respondent]]","[[],[-1]]",-1
"Johnson was tied for second [480 U.S. 616, 624] with a score of 75, while Joyce ranked next with a score of 73. A second interview was conducted by three Agency supervisors, who ultimately recommended that Johnson be promoted.","[[johnson],[agency]]","[[1],[1]]",1
"petitioner and two White House aides (Petitioner in Harlow v. Fitzgerald, post, p. 800).","[[johnson],[]]","[[0],[]]",1
"Fitzgerald had attained national prominence approximately one year earlier, during the waning months of the Presidency of Lyndon B. Johnson.","[[johnson],[]]","[[0],[]]",1
ultimately recommended that Johnson be promoted.,"[[johnson],[]]","[[1],[]]",1
The certification form naming Joyce as the person promoted to the dispatcher position stated that both she and Johnson were rated as well qualified for the job.,"[[johnson],[]]","[[1],[]]",1
It was in this amended complaint - more than eight years after he had complained of his discharge to the Civil Service Commission - that Fitzgerald first named the petitioner Nixon as a party defendant.,"[[johnson],[]]","[[0],[]]",0
"The evaluation of Johnson was as follows: ""Well qualified applicant; two years of [road maintenance worker] experience plus 11 years of Road Yard Clerk.","[[johnson],[]]","[[1],[]]",1
"The District Court found that Johnson was more qualified for the dispatcher position than Joyce, and that the sex of Joyce was the ""determining factor in her selection.""","[[johnson],[]]","[[1],[]]",1
Johnson was more qualified for the dispatcher position than Joyce,"[[johnson],[]]","[[1],[]]",1
"for Cert. 12a, who had recommended that Johnson be appointed to the position.","[[johnson],[]]","[[1],[]]",1
"While Mr. Johnson does not advance a constitutional claim here, it is most unlikely that Title VII was intended to place a lesser restraint on discrimination by public actors than is established by the Constitution.","[[johnson],[]]","[[-1],[]]",-1
Mr. Johnson does not advance a constitutional claim here,"[[johnson],[]]","[[-1],[]]",-1
"The petitioner in the present case, Paul E. Johnson, had been an employer of the Agency since 1967, coming there from a private company where he had been a road dispatcher for 17 years.","[[petitioner,johnson,he],[]]","[[1,1,1],[]]",1
he had complained of his discharge to the Civil Service Commission,"[[petitioner,johnson],[]]","[[0,0],[]]",0
"Shortly after petitioner had filed his petition for certiorari in this Court and respondent had entered his opposition, the parties reached an agreement to liquidate damages","[[he],[]]","[[0],[]]",0
"The Agency announced a vacancy for the position of road dispatcher in the Agency Roads Division on December 12, 1979.","[[],[agency]]","[[],[0]]",0
"the long-range goal was unrealistic, and had determined that the progress of the Agency should be judged by a comparison to the qualified women in the area work force.","[[],[agency]]","[[],[-1]]",-1
the progress of the Agency should be judged by a comparison to the qualified women in the area work force.,"[[],[agency]]","[[],[-1]]",-1
"At petitioner Giles murder trial, the court allowed prosecutors to introduce statements that the murder victim had made to a police officer responding to a domestic violence call.","[[petitioner giles],[prosecutors]]","[[-1],[1]]",-1
"At petitioner Giles murder trial, the court allowed prosecutors to introduce statements","[[petitioner giles],[prosecutors]]","[[-1],[1]]",-1
Giles was convicted.,"[[giles],[]]","[[-1],[]]",-1
petitioner had filed his petition for certiorari in this Court and respondent,"[[his],[defendant,them]]","[[0],[1,1]]",1
his wife left him,"[[his],[]]","[[0],[]]",0
the Sixth Amendment Confrontation Clause gives defendant the right to cross-examine witnesses,"[[],[defendant]]","[[],[1]]",1
It concluded that Giles had forfeited his right to confront the victim testimony because it found Giles had committed the murder for which he was on trial--an intentional criminal act that made the victim unavailable to testify.,"[[giles,he,his],[]]","[[-1,-1,-1],[]]",-1
Giles had forfeited his right to confront the victim testimony,"[[giles,his],[]]","[[-1,-1],[]]",-1
Giles had committed the murder,"[[giles],[]]","[[-1],[]]",-1
he was on trial--an intentional criminal act,"[[he],[]]","[[-1],[]]",-1
"On September 29, 2002, petitioner Dwayne Giles shot his ex-girlfriend, Brenda Avie, outside the garage of his grandmother house.","[[petitioner Dwayne Giles,his_1,his_2],[]]","[[-1,-1,-1],[]]",-1
"No witness saw the shooting, but Giles niece heard what transpired from inside the house.","[[giles],[]]","[[-1],[]]",-1
She heard Giles and Avie speaking in conversational tones.,"[[giles],[]]","[[-1],[]]",-1
Giles niece and grandmother ran outside and saw Giles standing near Avie with a gun in his hand.,"[[giles,his],[]]","[[-1,-1],[]]",-1
He was apprehended by police about two weeks later and charged with murder.,"[[he],[]]","[[-1],[]]",-1
"At trial, Giles testified that he had acted in self-defense.","[[giles,he],[]]","[[1,1],[]]",1
he had acted in self-defense.,"[[he],[]]","[[1],[]]",1
"He said that on the day of the shooting, Avie came to his grandmother house and threatened to kill him and his new girlfriend, who had been at the house earlier.","[[he,his_1,him,his_2],[]]","[[-1,-1,-1,-1],[]]",-1
"on the day of the shooting, Avie came to his grandmother house and threatened to kill him and his new girlfriend","[[his_1,him,his_2],[]]","[[-1,-1,-1],[]]",-1
He said that Avie had also threatened to kill his new girlfriend when Giles and Avie spoke on the phone earlier that day.,"[[he,his],[]]","[[-1,-1],[]]",-1
Avie had also threatened to kill his new girlfriend,"[[his],[]]","[[-1],[]]",-1
Petitioner Jae Lee moved to the United States from South Korea with his parents when he was 13.,"[[giles],[]]","[[0],[]]",0
"Giles testified that after Avie threatened him at the house, he went into the garage and retrieved a gun, took the safety off, and started walking toward the back door of the house.","[[giles,him,he],[]]","[[1,1,1],[]]",1
"after Avie threatened him at the house, he went into the garage and retrieved a gun","[[him,he],[]]","[[1,1],[]]",1
Avie threatened him at the house,"[[him],[]]","[[-1],[]]",-1
he went into the garage and retrieved a gun,"[[he],[]]","[[1],[]]",1
"According to Giles, he closed his eyes and fired several shots, but did not intend to kill Avie.","[[giles,he,his],[]]","[[1,1,1],[]]",1
Prosecutors sought to introduce statements that Avie had made to a police officer responding to a domestic-violence report about three weeks before the shooting.,"[[prosecutors],[]]","[[],[1]]",1
"Avie, who was crying when she spoke, told the officer that Giles had accused her of having an affair, and that after the two began to argue, Giles grabbed her by the shirt, lifted her off the floor, and began to choke her.","[[giles],[]]","[[-1],[]]",-1
Giles had accused her of having an affair,"[[giles],[]]","[[-1],[]]",-1
"after the two began to argue, Giles grabbed her by the shirt, lifted her off the floor, and began to choke her.","[[giles],[]]","[[-1],[]]",-1
A jury convicted Giles of first-degree murder.,"[[giles],[]]","[[-1],[]]",-1
"In the 35 years he has spent in this country, he has never returned to South Korea, nor has he become a U. S. citizen, living instead as a lawful permanent resident.","[[his],[defendant,him]]","[[0],[1,1]]",1
Petitioner Jae Lee moved to the United States from South Korea with his parents when he was 13.,"[[his],[]]","[[0],[]]",0
"In the 35 years he has spent in this country, he has never returned to South Korea, nor has he become a U. S. citizen, living instead as a lawful permanent resident.","[[his],[]]","[[0],[]]",0
"a defendant have the opportunity to confront the witnesses who give testimony against him, except in cases where an exception to the confrontation right was recognized at the time of the founding","[[],[defendant,him]]","[[],[1,1]]",1
The California Court of Appeal held that the admission of Avie unconfronted statements at Giles trial did not violate the Confrontation Clause as construed by Crawford because Crawford recognized a doctrine of forfeiture by wrongdoing.,"[[giles],[]]","[[-1],[]]",0
the admission of Avie unconfronted statements at Giles trial did not violate the Confrontation Clause,"[[giles],[]]","[[-1],[]]",0
"The State does not dispute here, and we accept without deciding, that Avie statements accusing Giles of assault were testimonial.","[[giles],[]]","[[-1],[]]",-1
Avie statements accusing Giles of assault were testimonial.,"[[giles],[]]","[[-1],[]]",-1
The terms used to define the scope of the forfeiture rule suggest that the exception applied only when the defendant engaged in conduct designed to prevent the witness from testifying.,"[[],[defendant]]","[[],[-1]]",-1
the defendant engaged in conduct designed to prevent the witness from testifying.,"[[],[defendant]]","[[],[-1]]",-1
"The rule required the witness to have been ""kept back"" or ""detained"" by ""means or procurement"" of the defendant.","[[],[defendant]]","[[],[-1]]",-1
"A number of them said that prior testimony was admissible when a witness was kept away by the defendant ""means and contrivance.""","[[],[defendant]]","[[],[-1]]",-1
"a witness was kept away by the defendant ""means and contrivance.""","[[],[defendant]]","[[],[-1]]",-1
The manner in which the rule was applied makes plain that unconfronted testimony would not be admitted without a showing that the defendant intended to prevent a witness from testifying.,"[[],[defendant]]","[[],[-1]]",-1
the defendant intended to prevent a witness from testifying.,"[[],[defendant]]","[[],[-1]]",-1
"Over Giles objection, the trial court admitted these statements into evidence under a provision of California law that permits admission of out-of-court statements describing the infliction or threat of physical injury on a declarant when the declarant is unavailable to testify at trial and the prior statements are deemed trustworthy.","[[giles],[]]","[[-1],[]]",-1
"Over Giles objection, the trial court admitted these statements into evidence under a provision of California law","[[giles],[]]","[[-1],[]]",-1
"It concluded that Giles had forfeited his right to confront Avie because he had committed the murder for which he was on trial, and because his intentional criminal act made Avie unavailable to testify.","[[giles,his_1,he_1,he_2,his_2],[]]","[[-1,-1,-1,-1,-1],[]]",-1
"Petitioner argument that the word ""procurement"" implies purpose or motive is unpersuasive.","[[petitioner],[]]","[[-1],[]]",-1
"The forfeiture rule thus had no place in Woodcock or Dingler, not because of the state of mind of the defendant when he committed his crime, but because the victim testimony was not a properly taken Marian statement.","[[],[defendant,he,his]]","[[],[1,1,1]]",1
It cannot show that the common law insisted upon a showing that a defendant purpose or motive in killing a victim was to prevent the victim from testifying.,"[[],[defendant]]","[[],[-1]]",-1
Giles fled the scene after the shooting.,"[[giles],[]]","[[-1],[]]",-1
"Giles described Avie as jealous, and said he knew that she had once shot a man, that he had seen her threaten people with a knife, and that she had vandalized his home and car on prior occasions.","[[giles,he_1,he_2,his],[]]","[[1,1,1,1],[]]",1
"He said that Avie charged at him, and that he was afraid she had something in her hand.","[[he_1,him,he_2],[]]","[[1,1,1],[]]",1
Avie charged at him,"[[him],[]]","[[-1],[]]",-1
he was afraid,"[[he],[]]","[[-1],[]]",-1
"Petitioner Rita sought a sentence lower than the recommended Federal Guidelines range of 33 to 41 months based on his physical condition, likely vulnerability in prison, and military experience.","[[petitioner rita,his],[]]","[[1,1],[]]",1
The record makes clear that the judge listened to each of Rita arguments for a downward departure and considered the supporting evidence before finding those circumstances insufficient to warrant a sentence lower than the Guidelines range.,"[[rita],[]]","[[1],[]]",1
the judge listened to each of Rita arguments for a downward departure and considered the supporting evidence before finding those circumstances insufficient to warrant a sentence lower than the Guidelines range.,"[[rita],[]]","[[1],[]]",1
"The Fourth Circuit, after applying the presumption, was legally correct in holding that Rita sentence was not ""unreasonable.""","[[rita],[]]","[[1],[]]",1
"Rita sentence was not ""unreasonable.""","[[rita],[]]","[[1],[]]",1
"Like the District Court and the Fourth Circuit, this Court simply cannot say that Rita special circumstances--his health, fear of retaliation, and military record--are special enough, in light of §3553(a), to require a sentence lower than the one the Guidelines provide.","[[rita,his],[]]","[[-1,-1],[]]",-1
"Rita special circumstances--his health, fear of retaliation, and military record--are special enough, in light of §3553(a), to require a sentence lower","[[rita,his],[]]","[[-1,-1],[]]",-1
"Rita argument that the Guidelines sentence is not reasonable under §3553(a) because it expressly declines to consider various personal characteristics, such as his physical condition, employment record, and military service, was not raised below and will not be considered here. Pp. 20-21.","[[rita,his],[]]","[[-1,-1],[]]",-1
"The basic crime in this case concerns two false statements which Victor Rita, the petitioner, made under oath to a federal grand jury.","[[rita,],[]]","[[-1],[]]",-1
"In the 35 years he has spent in this country, he has never returned to South Korea","[[rita],[]]","[[0],[]]",0
Rita had bought a PPSH 41 machinegun parts kit.,"[[rita],[]]","[[-1],[]]",-1
"Rita, when contacted by the Bureau of Alcohol, Tobacco, and Firearms and Explosives (ATF), agreed to let a federal agent inspect the kit. Id., at 119-120; Supp. App. 5-8.","[[rita],[]]","[[1],[]]",1
"But before meeting with the agent, Rita called InterOrdnance and then sent back the kit.","[[rita],[]]","[[-1],[]]",-1
"The investigating prosecutor brought Rita before the grand jury, placed him under oath, and asked him about these matters.","[[rita,him_1,him_2],[]]","[[-1,-1,-1],[]]",-1
"The investigating prosecutor brought Rita before the grand jury, placed him under oath","[[rita,him],[]]","[[-1,-1],[]]",-1
"Rita denied that the Government agent had asked him for the PPSH kit, and also denied that he had spoken soon thereafter about the PPSH kit to someone at InterOrdnance","[[rita,him,he],[[government]]","[[1,1,1],[-1]]",1
the Government agent had asked him for the PPSH kit,"[[him],[government]]","[[-1],[1]]",1
he had spoken soon thereafter about the PPSH kit to someone at InterOrdnance,"[[he],[]]","[[-1],[]]",-1
"Government claimed these statements were false, charged Rita with perjury, making false statements, and obstructing justice, and, after a jury trial, obtained convictions on all counts.","[[rita],[government]]","[[-1],[1]]",-1
"Government claimed these statements were false, charged Rita with perjury, making false statements","[[rita],[government]]","[[-1],[1]]",-1
"Rita was convicted in May 1986, and sentenced to five years probation for making false statements in connection with the purchase of firearms.","[[rita],[]]","[[-1],[]]",-1
"Because this conviction took place more than 10 years before the present offense, it did not count against Rita.","[[rita],[]]","[[1],[]]",1
"And because Rita had no other relevant convictions, the Guidelines considered him as having no ""criminal history points."" Ibid.","[[rita,him],[]]","[[1,1],[]]",1
Rita had no other relevant convictions,"[[rita],[]]","[[1],[]]",1
"The report consequently places Rita in criminal history category I, the lowest category for purposes of calculating a Guidelines sentence.","[[rita],[]]","[[-1],[]]",-1
"At the sentencing hearing, both Rita and the Government presented their sentencing arguments.","[[rita],[government]]","[[1],[1]]",1
"Thus, the judge asked Rita counsel, ""Are you going to put on evidence to show that [Rita] should be getting a downward departure, or under 3553, your client would be entitled to a different sentence than he should get under sentencing guidelines?"" App. 52.","[[rita, rita counsel,he],[]]","[[1,1,1],[]]",1
In the 35 years he has spent in this country,"[[he],[]]","[[0],[]]",0
he should get under sentencing guidelines,"[[he],[]]","[[-1],[]]",-1
"Counsel agreed, while adding that Rita poor physical condition constituted a third reason.","[[rita, counsel],[]]","[[1,1],[]]",1
Rita poor physical condition constituted a third reason.,"[[rita],[]]","[[1],[]]",1
"The Government, while not asking for a sentence higher than the report recommended Guidelines range, said that Rita perjury had interfered with the Government potential ""obstruction of justice"" claim against InterOrdnance and that Rita, as a former Government criminal justice employer, should have known better than to commit perjury.","[[rita],[government]]","[[-1],[-1]]",-1
"Rita perjury had interfered with the Government potential ""obstruction of justice""","[[rita],[government]]","[[-1],[-1]]",-1
The Fourth Circuit then rejected Rita arguments and upheld the sentence.,"[[rita],[]]","[[-1],[]]",-1
We consequently granted Rita petition.,"[[rita],[]]","[[1],[]]",1
Even the Government concedes that appellate courts may not presume that every variance from the advisory Guidelines is unreasonable.,"[[],[government]]","[[],[1]]",1
"In Pierce, we considered whether the District Court had properly awarded attorney fees based on a determination that the Government litigation position was not ""substantially justified"" within the meaning of the Equal Access to Justice Act, 28 U. S. C. §2412(d).","[[],[government]]","[[],[-1]]",-1
"the Government litigation position was not ""substantially justified"" within the meaning of the Equal Access to Justice Act, 28 U. S. C. §2412(d).","[[],[government]]","[[],[-1]]",-1
Neither Apprendi nor any of its progeny suggests that violation of the Sixth Amendment depends upon what branch of government has made the prescription.,"[[],[government]]","[[],[1]]",1
"The Government position was that the extra fact of serious bodily injury raising the penalty range required no jury finding because it was only a condition for imposing an enhanced sentence, up to a judge, not an element of a more serious crime, subject to the right to a jury determination.","[[],[government]]","[[],[1]]",1
"For if judicial factfinding necessary for an enhanced sentencing range were held to be adequate in the face of a defendant objection, a defendant right to have a jury standing between himself and the power of the government to curtail his liberty would take on a previously unsuspected modesty.","[[],[defendant,government,his]]","[[],[-1,-1,-1]]",-1
What the Government called a mere condition for imposing a sentencing enhancement was treated as an element of a more serious offense and made subject to a jury factfinding.,"[[],[government]]","[[],[1]]",1
"True, the Government would have to think ahead (and could not charge relevant facts that emerged unexpectedly at trial).","[[],[government]]","[[],[-1]]",-1
He subsequently turned over to ATF a different kit that apparently did not amount to a machinegun.,"[[he],[]]","[[1],[]]",1
the officials searched Lee’s house,"[[he],[]]","[[0],[]]",0
"Petitioner fired respondent Churchill from her nursing job at a public hospital, allegedly because of statements she made to coworker Perkins-Graham during a work break.","[[Petitioner],[respondent,her,she]]","[[1],[-1,-1,-1]]",-1
"Petitioner fired respondent Churchill from her nursing job at a public hospital, allegedly because of statements","[[Petitioner],[respondent,her]]","[[1],[-1,-1]]",-1
she made to coworker Perkins-Graham during a work break.,"[[],[she]]","[[],[0]]",0
"Petitioner version was based on interviews with Perkins-Graham and one Ballew, who had overheard part of the conversation, and indicated that Churchill made disruptive statements critical of her department and of Petitioner.","[[Petitioner],[Churchill,her]]","[[1],[-1,-1]]",-1
Churchill made disruptive statements critical of her department and of Petitioner.,"[[Petitioner],[Churchill,her]]","[[1],[-1,-1]]",-1
"However, in Churchill version, which was corroborated by others who had overheard part of the conversation, her speech was largely limited to nondisruptive statements critical of the hospital ""cross-training"" policy, which she believed threatened patient care.","[[],[Churchill,her,she]]","[[],[1,1,1]]",1
she believed threatened patient care.,"[[],[she]]","[[],[1]]",1
"The District Court granted Petitioner summary judgment, holding that management could fire Churchill with impunity because neither version of the conversation was protected under Connick.","[[Petitioner],[Churchill]]","[[1],[-1]]",-1
"The District Court granted Petitioner summary judgment, holding ","[[Petitioner],[]]","[[1],[]]",1
"The Court of Appeals reversed, concluding that Churchill speech, viewed in the light most favorable to her, was on a matter of public concern and was not disruptive, and that the inquiry must turn on what her speech actually was, as determined by a jury, not on what the employer thought it was.","[[],[Churchill,her,her]]","[[],[1,1,1]]",1
"Churchill speech, viewed in the light most favorable to her, was on a matter of public concern and was not disruptive","[[],[Churchill,her]]","[[],[1,1]]",1
"her speech actually was, as determined by a jury, not on what the employer thought","[[],[her]]","[[],[1]]",1
"Churchill right not to be dismissed in retaliation for her expression of views on a matter of public concern was not violated, since she was dismissed for another reason, erroneous though it may have been.","[[],[Churchill,her,she]]","[[],[1,1,1]]",1
Churchill right not to be dismissed in retaliation for her expression of views on a matter of public concern,"[[],[Churchill,her]]","[[],[1,1]]",1
"she was dismissed for another reason, erroneous","[[],[she]]","[[],[-1]]",-1
"This case arises out of a conversation that respondent Cheryl Churchill had on January 16, 1987, with Melanie Perkins-Graham.","[[],[respondent]]","[[],[0]]",0
"respondent Cheryl Churchill had on January 16, 1987, with Melanie Perkins-Graham.","[[],[respondent]]","[[],[0]]",0
"Both Churchill and Perkins-Graham were nurses working at McDonough District Hospital; Churchill was in the obstetrics department, and Perkins-Graham was considering transferring to that department.","[[],[Churchill]]","[[],[0]]",0
Both Churchill and Perkins-Graham were nurses working at McDonough District Hospita,"[[],[Churchill]]","[[],[0]]",0
Churchill was in the obstetrics department,"[[],[Churchill]]","[[],[0]]",0
"Petitioner heard about it, and fired Churchill, allegedly because of it.","[[Petitioner],[Churchill]]","[[1],[-1]]",-1
Petitioner heard about it,"[[Petitioner],[]]","[[1],[]]",1
"fired Churchill, allegedly because of it.","[[],[Churchill]]","[[],[-1]]",-1
"There is, however, a dispute about what Churchill actually said, and therefore about whether Petitioner were constitutionally permitted to fire Churchill for her statements.","[[Petitioner],[Churchill,her]]","[[-1],[1,1]]",0
Churchill actually said,"[[],[Churchill]]","[[],[0]]",0
Petitioner were constitutionally permitted to fire Churchill for her statements.,"[[Petitioner],[Churchill,her]]","[[1],[-1,-1]]",1
"Ballew said she heard Churchill say Waters ""was trying to find reasons to fire her.""","[[Waters],[Churchill,her]]","[[1],[-1,-1]]",-1
"Waters ""was trying to find reasons to fire her.""","[[Waters],[her]]","[[1],[-1]]",-1
Ballew also said Churchill described a patient complaint for which Waters had supposedly wrongly blamed Churchill.,"[[Waters],[Churchill]]","[[1],[-1]]",-1
Churchill described a patient complaint,"[[],[Churchill]]","[[],[0]]",0
Waters had supposedly wrongly blamed Churchill,"[[Waters],[Churchill]]","[[-1],[1]]",1
"Waters, together with petitioner Kathleen Davis, the hospital vice president of nursing, also met with Perkins-Graham, who told them that Churchill ""had indeed said unkind and inappropriate negative things about [Waters].""","[[Waters,petitioner,Kathleen],[Churchill]]","[[1,1,1],[-1]]",-1
Lee retained counsel and entered into plea discussions with the Government.,"[[Waters,petitioner,Kathleen],[]]","[[0,0,0],[]]",0
"Churchill ""had indeed said unkind and inappropriate negative things about [Waters].""","[[Waters],[Churchill]]","[[-1],[1]]",-1
"Also, according to Perkins-Graham, Churchill mentioned a negative evaluation that Waters had given Churchill, which arose out of an incident in which Waters had cited Churchill for an insubordinate remark.","[[Waters],[Churchill]]","[[1],[-1]]",-1
"During the plea process, Lee repeatedly asked his attorney whether he would face deportation; his attorney assured him that he would not be deported as a result of pleading guilty.","[[Waters],[Churchill]]","[[0],[0]]",0
"During the plea process, Lee repeatedly asked his attorney","[[Waters],[Churchill]]","[[0],[0]]",0
"Churchill also allegedly told Perkins-Graham ""that just in general things were not good in OB and hospital administration was responsible.""","[[],[Churchill]]","[[],[1]]",1
Churchill also allegedly told Perkins-Graham,"[[],[Churchill]]","[[],[0]]",0
"Churchill specifically mentioned Davis, saying Davis ""was ruining MDH.""","[[],[Churchill]]","[[],[0]]",0
"Perkins-Graham told Waters that she knew Waters and Davis ""could not tolerate that kind of negativism.""","[[Waters],[]]","[[1],[]]",1
"Waters and Davis ""could not tolerate that kind of negativism","[[Waters],[]]","[[1],[]]",0
"Churchill believed this policy threatened patient care because it was designed not to train nurses, but to cover staff shortages, and she had complained about this to Davis and Waters.","[[Waters],[Churchill,she]]","[[-1],[1,1]]",1
she had complained about this to Davis and Waters.,"[[Waters],[she]]","[[-1],[1]]",-1
"She does admit she criticized Kathy Davis, saying her staffing policies threatened to ""ruin"" the hospital because they ""seemed to be impeding nursing care.""","[[],[she_1,she_2,her]]","[[],[-1,-1,-1]]",-1
"she criticized Kathy Davis, saying her staffing policies threatened to ""ruin"" the hospital","[[],[she,her]]","[[],[-1,-1]]",-1
She claims she actually defended Waters and encouraged Perkins-Graham to transfer to obstetrics.,"[[Waters],[she,she]]","[[-1],[1,1]]",1
she actually defended Waters and encouraged Perkins-Graham to transfer to obstetrics.,"[[Waters],[she]]","[[-1],[1]]",1
"Davis and Waters, however, never talked to Koch or Welty about this, and they did not talk to Churchill until the time they told her she was fired.","[[Waters],[Churchill,she,she]]","[[1],[-1,-1,-1]]",-1
his attorney assured him,"[[Waters],[]]","[[0],[]]",0
they did not talk to Churchill until the time,"[[],[Churchill]]","[[],[0]]",0
she was fired.,"[[],[she]]","[[],[-1]]",-1
"Moreover, Churchill claims, Ballew was biased against Churchill because of an incident in which Ballew apparently made an error and Churchill had to cover for her.","[[],[Churchill]]","[[],[-1]]",-1
"Moreover, Churchill claims, Ballew was biased against Churchill because of an incident","[[],[Churchill]]","[[],[-1]]",-1
Ballew apparently made an error and Churchill had to cover for her.,"[[],[Churchill]]","[[],[-1]]",-1
"The president of the hospital, petitioner Stephen Hopper, met with Churchill in regard to this and heard her side of the story.","[[petitioner, stephen hopper],[Churchill]]","[[1,1],[1]]",1
Lee learned of this consequence,"[[Waters],[]]","[[0],[]]",0
"After considering all this, Hopper rejected Churchill grievance.","[[Hopper],[Churchill]]","[[1],[-1]]",-1
"Applying the foregoing to this case, it is clear that if Petitioner really did believe Perkins-Graham and Ballew story, and fired Churchill because of it, they must win.","[[Petitioner,they],[Churchill]]","[[1,1],[-1]]",1
"Petitioner really did believe Perkins-Graham and Ballew story, and fired Churchill because of it","[[Petitioner],[Churchill]]","[[1],[-1]]",-1
they must win.,"[[they],[]]","[[1],[]]",1
Lee has demonstrated that Lee was prejudiced by Lee’s counsel’s erroneous advice.,"[[Waters],[]]","[[0],[]]",0
"In response to Churchill grievance, Hopper met directly with Churchill to hear her side of the story, and instructed Magin to interview Ballew one more time.","[[Hopper],[Churchill,her]]","[[1],[1,1]]",1
"According to Ballew, Churchill speech may have substantially dampened Perkins-Graham interest in working in obstetrics.","[[],[Churchill]]","[[],[-1]]",-1
"Moreover, Perkins-Graham perceived Churchill statements about Waters to be ""unkind and inappropriate,"" and told management that she knew they could not continue to ""tolerate that kind of negativism"" from Churchill.","[[Waters],[Churchill]]","[[1],[-1]]",-1
"Moreover, Perkins-Graham perceived Churchill statements about Waters to be ""unkind and inappropriate,","[[Waters],[Churchill]]","[[1],[-1]]",-1
"they could not continue to ""tolerate that kind of negativism"" from Churchill.","[[],[Churchill]]","[[],[-1]]",-1
"And finally, Churchill statement, as reported by Perkins-Graham, that it ""wasn't possible"" to ""wipe the slate clean"" between her and Waters could certainly make management doubt Churchill future effectiveness.","[[Waters],[Churchill,her]]","[[1],[-1,-1]]",-1
"Though Davis and Waters would have been justified in firing Churchill for the statements outlined above, there remains the question whether Churchill was actually fired because of those statements, or because of something else.","[[Waters],[Churchill]]","[[1],[-1]]",0
Though Davis and Waters would have been justified in firing Churchill for the statements outlined above,"[[Waters],[Churchill]]","[[1],[-1]]",1
"Churchill was actually fired because of those statements, or because of something else.","[[],[Churchill]]","[[],[-1]]",-1
Churchill has produced enough evidence to create a material issue of disputed fact about Petitioner actual motivation.,"[[Petitioner],[Churchill]]","[[-1],[1]]",1
Everyone agrees that respondent Cheryl Churchill was fired because of what she said in a conversation with coworkers during a dinner break,"[[],[Respondent Cheryl Churchill,she]]","[[],[-1,-1]]",-1
respondent Cheryl Churchill was fired because of,"[[],[Respondent Cheryl Churchill]]","[[],[-1]]",-1
Lee has demonstrated,"[[],[she]]","[[0],[]]",0
"Here, for example, attention to ""conclusions a jury would later draw,"" ante, at 13, about the content of Churchill speech might have caused Petitioner to talk to Churchill about what she said before deciding to fire her.","[[Petitioner],[Churchill,she,her]]","[[1],[-1,-1,-1]]",-1
Lee was prejudiced by Lee’s counsel’s erroneous advice.,"[[Petitioner],[Churchill]]","[[0],[0]]",0
she said before deciding to fire her.,"[[],[she,her]]","[[],[-1,-1]]",-1
"Because there is no dispute that Churchill was fired for the content of her speech, this case does not involve the problem of determining whether the public employer would have been terminated anyway for reasons unrelated to speech.","[[],[Churchill,her]]","[[],[-1,-1]]",-1
Churchill was fired for the content of her speech,"[[],[Churchill,her]]","[[],[-1,-1]]",-1
he can make this showing,"[[he],[]]","[[0],[]]",0
Petitioner Wyeth manufactures the antinausea drug Phenergan.,"[[petitioner wyeth],[]]","[[0],[]]",0
"After a clinician injected respondent Levine with Phenergan by the ""IV-push"" method, whereby a drug is injected directly into a patient vein, the drug entered Levine artery, she developed gangrene, and doctors amputated her forearm.","[[],[respondent levine,she,her]]","[[],[[-1,-1,-1]]",-1
